date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:43:06	0/0	---MCZ	302	error ('Found')	text/html	date:Thu,%2012%20Jan%202017%2011:43:20%20GMT	http://oceanar.io/path=/	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/path=/index.html	(from https://mc.yandex.ru/metrika/watch.js)
09:43:06	0/-1	---M--	302	error ('')			http://oceanar.io/en	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/en.19.delayed	(from http://oceanar.io/privacy)
09:43:06	0/-1	---M--	302	error ('')			http://oceanar.io/es	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/es.1a.delayed	(from http://oceanar.io/privacy)
09:43:06	0/-1	---M--	302	error ('')			http://oceanar.io/ru	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/ru.1b.delayed	(from http://oceanar.io/privacy)
09:43:06	0/-1	---M--	302	error ('')			http://oceanar.io/en	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/en.1c.delayed	(from http://oceanar.io/terms)
09:43:06	0/-1	---M--	302	error ('')			http://oceanar.io/es	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/es.1d.delayed	(from http://oceanar.io/terms)
09:43:06	0/-1	---M--	302	error ('')			http://oceanar.io/ru	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/ru.1e.delayed	(from http://oceanar.io/terms)
09:43:06	0/-1	---M--	302	error ('')			http://oceanar.io/en	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/en.1f.delayed	(from http://oceanar.io/contact)
09:43:06	0/-1	---M--	302	error ('')			http://oceanar.io/es	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/es.20.delayed	(from http://oceanar.io/contact)
09:43:06	0/-1	---M--	302	error ('')			http://oceanar.io/ru	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/ru.21.delayed	(from http://oceanar.io/contact)
09:43:09	90588/90588	---M--	200	added ('OK')	application/octet-stream	etag:%22778288967%22	http://oceanar.io/fonts/days.ttf	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/fonts/days.ttf	(from http://oceanar.io/css/style.css?9ce68f6125683cc1)
09:43:10	149072/149072	---M--	200	added ('OK')	text/javascript	etag:%222872840230%22	http://oceanar.io/js/script.min.js?fc7e3faa6ccd31f9	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/js/script.min75b9.js	(from http://oceanar.io/)
09:43:12	678/678	---MC-	200	added ('OK')	text/javascript	date:Thu,%2012%20Jan%202017%2011:43:13%20GMT	https://www.google.com/recaptcha/api.js	D:/arquivos%20e%20programas/internet/deposit/ctrlc/www.google.com/recaptcha/api.js	(from http://oceanar.io/contact)
09:43:12	0/-1	---M--	302	error ('')			http://oceanar.io/en	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/en.24.delayed	(from http://oceanar.io/changelog)
09:43:12	0/-1	---M--	302	error ('')			http://oceanar.io/es	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/es.25.delayed	(from http://oceanar.io/changelog)
09:43:12	0/-1	---M--	302	error ('')			http://oceanar.io/ru	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/ru.26.delayed	(from http://oceanar.io/changelog)
09:43:13	0/0	---MCZ	302	error ('Found')	text/html	date:Thu,%2012%20Jan%202017%2011:43:27%20GMT	http://oceanar.io/yaShare2Popup	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/yaShare2Popup.27.delayed	(from http://yastatic.net/share2/share.js)
09:43:14	0/0	---MCZ	302	error ('Found')	text/html	date:Thu,%2012%20Jan%202017%2011:43:27%20GMT	http://oceanar.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from http://connect.facebook.net/en_US/sdk.js)
09:43:14	0/0	---MCZ	302	error ('Found')	text/html	date:Thu,%2012%20Jan%202017%2011:43:27%20GMT	http://oceanar.io/restserver.php	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/restserver.28.delayed	(from http://connect.facebook.net/en_US/sdk.js)
09:43:14	0/0	---MCZ	302	error ('Found')	text/html	date:Thu,%2012%20Jan%202017%2011:43:28%20GMT	http://oceanar.io/dialog/	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/dialog/index.html	(from http://connect.facebook.net/en_US/sdk.js)
09:43:14	0/0	---MCZ	302	error ('Found')	text/html	date:Thu,%2012%20Jan%202017%2011:43:28%20GMT	http://oceanar.io/%s/profile.php?id=%s	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/%s/profile.294d6d.delayed	(from http://connect.facebook.net/en_US/sdk.js)
09:43:22	97163/97163	---M--	200	added ('OK')	text/javascript	etag:%22825470242%22	http://oceanar.io/js/jquery.min.js	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/js/jquery.min.js	(from http://oceanar.io/contact)
09:43:26	353824/353824	---M--	200	added ('OK')	application/octet-stream	etag:%224271775356%22	http://oceanar.io/fonts/ubuntu.ttf	D:/arquivos%20e%20programas/internet/deposit/ctrlc/oceanar.io/fonts/ubuntu.ttf	(from http://oceanar.io/css/style.css?9ce68f6125683cc1)
09:43:28	26/26	---M--	200	added ('OK')	text/plain	date:Thu,%2021%20Jul%202016%2008:44:30%20GMT	https://mc.yandex.ru/robots.txt		(from https://mc.yandex.ru/metrika/watch.js)
